Incident No.,Inclusion Criteria I,Inclusion Criteria II,Source Incident Detection/Disclosure,Source Incident Detection/Disclosure II,Start Date (Year),Start Date (Month),Start Date (Date),End Date (Year),End Date (Month),End Date (Date),Receiver Category I,Receiver Category II,Receiver Category III,Receiver Category IV,Receiver Category V,Receiver Category VI,Receiver Category VII,Receiver Category VIII,Receiver Category IX,Receiver Category X,Receiver Country I,Receiver Country II,Receiver Country III,Receiver Country IV,Receiver Country V,Receiver Country VI,Receiver Country VII,Receiver Country VIII,Receiver Country IX,Receiver Country X,Receiver Regime Type I,Receiver Regime Type II,Receiver Regime Type III,Initiator Category,Name Initiator,Name Initiator II,Initiator Country I,Initiator Country II,Initiator Country III,Initiator Country IV,Initiator Country V,Initiator Regime Type I,Initiator Regime Type II,Attribution Year,Political/Legal Response Year,Attribution Basis I,Attribution Type I,Attribution Basis II,Attribution Type II,Attribution Basis III,Attribution Type III,Attribution Basis IV,Attribution Type IV,Attribution IT-Security Community (category) I,Attribution IT-Security Community (category) II,Attribution IT-Security Community (country) I,Attribution IT-Security Community (country) II,Country of Origin: IT Attribution I,Country of Origin: IT Attribution II,Temporal Attribution Sequence,Cyber-Conflict Issue I,Cyber-Conflict Issue II,Cyber-Conflict Issue III,Cyber-Conflict Issue IV,Offline-Conflict (Intensity) - HIIK,Offline-Conflict (Issue) - HIIK I,Offline-Conflict (Issue) - HIIK II,Offline-Conflict (Issue) - HIIK III,Offline-Conflict (Issue) - HIIK IV,Zero Day(s),Incident Type I,Incident Type II,Incident Type III,Data Theft,Disruption,Hijacking (accessing and controlling a system),Physical Effects (spatial),Physical Effects (temporal),Unweigthed Cyber Intensity,Target/effect multiplier,Weighted Cyber Intensity,Casualties,Sources,Sources Attribution,Sources Politicization,Incident Name,Description
31,1,3,1,na,2006,8,na,2006,na,na,1.2,6,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,CHN,na,na,na,na,3,na,2008,na,6,8,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.nysun.com/foreign/china-critic-says-congressional-computers-hacked/79782/,na,https://www.nysun.com/foreign/china-critic-says-congressional-computers-hacked/79782/,"Republican Frank Wolf, Chris Smith Hack","The office of the Republican Frank Wolf was hacked by China because of its longstanding critical attitude towards its human rights abuses, he said."
32,2.1,4,1,na,2006,8,na,2006,10,na,1.3,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2,0,na,CHN,na,na,na,na,3,na,2006,na,2,3,6,4,na,na,na,na,2,na,CHN,na,USA,na,1,6,na,na,na,0,0,na,na,na,1,3,na,na,0,0,1,0,0,1,1,1,0,https://www.theregister.co.uk/2006/10/09/chinese_crackers_attack_us/,https://custom.crn.com/news/security/193105261/chinese-hackers-hit-commerce-department.htm?itc=refresh,na,BIS Hack,An attack against the US Bureau of Industry and Security (BIS) forced the agency to turn off Internet access in early September 2006. Hundreds of computers must be replaced to cleanse the agency of malicious code.
33,1,4,0,na,2006,11,15,2006,12,4,1.5,8,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2,0,na,CHN,na,na,na,na,3,na,2006,na,0,2,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,2,na,1,1,0,0,0,2,1,2,0,https://fcw.com/articles/2006/12/04/china-is-suspected-of-hacking-into-navy-site.aspx?sc_lang=en,https://fcw.com/articles/2006/12/04/china-is-suspected-of-hacking-into-navy-site.aspx?sc_lang=en,na,US Naval War College Hack 2006,"Computer and e-mail systems were off-line at the Naval War College following a network intrusion Nov.15. According to newsreports, hackers in China attacked the Website of the college, which trains senior Navy officers and develops cyberspace strategies. "
34,1,8,2,na,2006,na,na,2013,na,na,1.3,2,3,5,7,8,na,na,na,na,USA,GBR,CAN,TWN,SGP,CHE,BEL,ISR,IND,JPN,1,na,na,1,APT 1/Comment Crew,PLA Unit 61398,CHN,na,na,na,na,3,na,2013,2014,2,5,6,7,na,na,na,na,1,na,CHN,na,USA,na,2,7,na,na,na,0,0,na,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-APT 1-report.pdf,na,https://books.google.de/books?id=KNlEWdlTxYYC&pg=PA5&lpg=PA5&dq=APT +1+report+mandiant+senator&source=bl&ots=3Vjtz3BJHM&sig=ACfU3U35FSxtDFVHjIwB-4M0St6m8FAatg&hl=de&sa=X&ved=2ahUKEwiNzICc_LLyAhXxhf0HHcYJDyoQ6AF6BAglEAM#v=onepage&q=APT %201%20report%20mandiant%20senator&f=false,APT  1 Campaign 2006-2013,"In its seminal report about APT  1, IT-company Mandiant exposed this group as being PLA Unit 61398, conducting economic cyber-espionage against targets wordlwide. One year later, the US released its first indictment against forein hackers, in this case from the Chinese APT  1. "
35,2,4,2,na,2007,na,na,2013,na,na,1.1,1.5,3.1,5,na,na,na,na,na,na,RUS,KAZ,AZE,BEL,IND,AFG,ARM,IRN,TKM,UKR,1,2,3,0,0,na,RUS,CHN,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,RUS,CHN,RUS,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.bbc.com/news/technology-21013087; https://securelist.com/the-red-october-campaign/57647/,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/inception-framework-hiding-behind-proxies,na,Operation RedOctober,"Kaspersky found 2013 a campaign of espionage/stealing of confidential information in many countries, mostly in Eastern Europe, but also in Western Europe and America, specifically targeting ""Cryptofiler""files. Some evidence point to Russian and Chinese hackers,while precisely the origin could not be identified"
36,1,6,0,1,2007,na,na,2007,na,na,3.9,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,CHN,na,na,na,na,3,na,2013,na,0,4,5,5,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://thediplomat.com/2015/01/new-snowden-documents-reveal-chinese-behind-f-35-hack/,https://thediplomat.com/2015/01/new-snowden-documents-reveal-chinese-behind-f-35-hack/,https://thediplomat.com/2015/01/new-snowden-documents-reveal-chinese-behind-f-35-hack/; https://de.reuters.com/article/usa-fighter-hacking/theft-of-f-35-design-data-is-helping-u-s-adversaries-pentagon-idUSL2N0EV0T320130619,Operation Byzantine Hades (Lockheed Martin),"Documents leaked by Edward Snowden are the first public confirmation that Chinese hackers have been able to extrapolate top secret data on the F-35 Lightning II joint strike fighter jet. According to sources, the data breach already took place in 2007 at the prime subcontractor Lockheed Martin. "
37,2,na,3,na,2007,na,na,2007,na,na,5,6,9,na,na,na,na,na,na,na,SWE,na,na,na,na,na,na,na,na,na,1,na,na,3.3,0,na,TUR,na,na,na,na,3,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.worldbulletin.net/archive/swedish-hackers-retaliate-against-turkish-attack-h12233.html,https://www.worldbulletin.net/archive/swedish-hackers-retaliate-against-turkish-attack-h12233.html,na,Turkish Hacker vs. Sweden,Attacks on Swedish Web hosts and Web sites following the publication of a satirical drawing by Lars Vilks portraying the Muslim Prophet Mohammed as a roundabout dog by turkish hackers
38,2,na,3,na,2007,na,na,2007,na,na,5,8,9,na,na,na,na,na,na,na,TUR,na,na,na,na,na,na,na,na,na,3,na,na,3.3,na,na,SWE,na,na,na,na,1,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.worldbulletin.net/archive/swedish-hackers-retaliate-against-turkish-attack-h12233.html,https://www.worldbulletin.net/archive/swedish-hackers-retaliate-against-turkish-attack-h12233.html,na,Swedish Hackers vs. Turkey,A group of swedish hackers has chosen to leak these user details in response to the many recent attacks on Swedish Web hosts and Web sites following the publication of a satirical drawing by Lars Vilks portraying the Muslim Prophet Mohammed as a roundabout dog.
39,2.1,na,2,na,2007,na,na,2016,na,na,1.1,5,6,na,na,na,na,na,na,na,IRN,USA,DNK,ISR,SAU,PAK,AFG,IRQ,na,na,1,na,na,2,Infy,na,IRN,na,na,na,na,3,na,2016,na,2,5,na,na,na,na,na,na,0,na,0,na,USA,CHN,na,2,7,na,na,2,1,7,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://unit42.paloaltonetworks.com/prince-of-persia-infy-malware-active-in-decade-of-targeted-attacks/,http://blogs.360.cn/post/operation-mermaid.html; https://www.blackhat.com/docs/us-16/materials/us-16-Guarnieri-Iran-And-The-Soft-War-For-Internet-Dominance-wp.pdf; ,na,Infy/Prince of Persia,"Prince of Persia Campaign used InfyMalware for almost ten years to spy on government and corporate entities, also known as Operation Mermaid."
40,2.1,10,2,na,2007,na,na,2014,na,na,1.5,1.7,3.9,5,7,9,na,na,na,na,PRK,JPN,IND,USA,ASIA,na,na,na,na,na,1,3,na,2,DarkHotel,na,KOR,na,na,na,na,1,na,2014,na,2,5,na,na,na,na,na,na,2,na,KOR,na,RUS,na,na,0,na,na,na,0,0,na,na,na,2.2,1,na,na,1,0,0,0,0,1,1,1,0,https://securelist.com/the-darkhotel-apt/66779/,https://www.wired.com/2014/11/darkhotel-malware/; https://labs.bitdefender.com/2017/07/inexsmar-an-unusual-darkhotel-campaign/,na,Darkhotel APT,DarkHotel: A Sophisticated New Hacking Attack Targets High-Profile Hotel Guests
41,1,4,2,na,2007,na,na,2017,na,na,1.1,1.9,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,Cozy Bear/APT 29/The Dukes,na,RUS,SVR,na,na,na,3,na,2017,na,2,5,na,na,na,na,na,na,2,na,RUS,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://www.newsweek.com/russia-hacking-trump-clinton-607956,na,na,CozyBear vs. Obama Campaign,"According to the report, authored by Area 1 Security-company founded by former National Security Agency veterans - Russian hackers (“Dukes,”also known as“CozyBear”/APT-29) targeted the 2008 Obama campaign and U.S. government officials as far back as 2007"
42,10,na,2,na,2007,na,na,2018,na,na,1.1,1.5,8,9,na,na,na,na,na,na,CHN,na,na,na,na,na,na,na,na,na,3,na,na,0,PoisonIvy/APT-C-01,na,0,na,na,na,na,0,na,na,na,2,5,na,na,na,na,na,na,0,na,0,na,CHN,na,na,0,na,na,na,0,0,na,na,na,2.1,1,na,na,2,0,0,0,0,2,1,2,0,http://blogs.360.cn/post/APT_C_01_en.html,http://blogs.360.cn/post/APT_C_01_en.html,na,Poison Ivy APT,"Through research, 360 Helios Team has found that, since 2007, the PoisonIvy Group has carried out 11 years of cyberespionage campaigns against Chinese key units and departments, such as national defense, government, science and technology, education and maritime agencies. The group seems to have similar interests as OceanLotus."
43,2.1,10,2,na,2007,na,na,2014,na,na,1.1,1.11,5,8,9,na,na,na,na,na,MAR,BRA,GBR,ESP,FRA,CHE,LBY,USA,na,na,1,2,3,2,Careto/The Mask,na,0,na,na,na,na,0,na,2014,na,2,5,na,na,na,na,na,na,2,na,0,na,RUS,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://securelist.com/the-caretomask-apt-frequently-asked-questions/58254/,https://securelist.com/the-caretomask-apt-frequently-asked-questions/58254/,na,Careto aka The Mask,"The Mask is an advanced threat actor that has been involved in cyber-espionage operations since at least 2007.
What makes The Mask special is the complexity of the toolset used by the attackers."
44,1,na,2,na,2007,na,na,2012,na,na,1.5,3.6,3.9,8,na,na,na,na,na,na,USA,EUROPE,na,na,na,na,na,na,na,na,1,na,na,1,Putter Panda/APT 2,na,CHN,na,na,na,na,3,na,2014,na,2,5,na,na,na,na,na,na,1,na,CHN,na,USA,na,na,7,na,na,na,2,7,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,http://cdn0.vox-cdn.com/assets/4589853/crowdstrike-intelligence-report-putter-panda.original.pdf,http://cdn0.vox-cdn.com/assets/4589853/crowdstrike-intelligence-report-putter-panda.original.pdf,na,Putter Panda aka APT 2,"Crowdstrike has been tracking the activity of a cyber espionage group operating out of shanghai, China, with connections to the People’s liberation army third General staff department (Gsd) 12th Bureau Military Unit Cover designator (MUCd) 61486, since 2012, active at least since 2007. The group shows similarities to the conduct of APT 1 aka Comment Crew/Panda, which is aligned with PLA Unit 61398."
45,1,na,4,na,2007,na,na,2013,na,na,5,6,na,na,na,na,na,na,na,na,WORLDWIDE,na,na,na,na,na,na,na,na,na,0,na,na,1,NSA/Equation Group,GCHQ,USA,GBR,na,na,na,1,na,2013,na,0,3,5,5,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://www.nytimes.com/2014/01/28/world/spy-agencies-scour-phone-apps-for-personal-data.html,na,na,The mobile surge,NSA accesses data of various mobile apps worldwide
46,1,6,2,na,2007,na,na,2010,na,na,1.5,3.9,na,na,na,na,na,na,na,na,IRN,na,na,na,na,na,na,na,na,na,3,na,na,1,NSA/Equation Group,na,USA,ISR,na,na,na,1,na,2011,na,2,5,6,3,na,3,na,na,1,na,USA,na,RUS,na,1,1,7,na,na,2,1,7,na,na,2.2,2,3,na,0,2,2,1,2,7,2,10.5,0,https://www.nytimes.com/2012/06/01/world/middleeast/obama-ordered-wave-of-cyberattacks-against-iran.html?_r=2&pagewanted=2&seid=auto&smid=tw-nytimespolitics&pagewanted=all; http://large.stanford.edu/courses/2015/ph241/holloway1/,https://www.cbsnews.com/news/iran-blames-us-israel-for-stuxnet-malware/; https://www.theregister.co.uk/2013/07/08/snowden_us_israel_stuxnet/; https://archive.f-secure.com/weblog/archives/00002791.html; https://web.archive.org/web/20150217023145/https://securelist.com/files/2015/02/Equation_group_questions_and_answers.pdf,https://www.cbsnews.com/news/iran-blames-us-israel-for-stuxnet-malware/,Stuxnet,US and Israeli created worm Stuxnet infiltrates Iranian nuclear facility which leads to destruction of uranium centrifuges.
47,2.1,4,0,na,2007,na,na,2007,na,na,1,na,na,na,na,na,na,na,na,na,KOR,na,na,na,na,na,na,na,na,na,1,na,na,2,Lazarus Group/Hidden Cobra/APT43,na,PRK,na,na,na,na,3,na,2018,na,2,5,na,na,na,na,na,na,2,0,PRK,na,USA,na,na,1,7,na,na,2,1,7,na,na,1,2,na,na,0,2,0,0,0,2,1,2,0,https://blog.360totalsecurity.com/en/brief-analysis-on-apt-attack-through-cryptocurrency-trading-software/; https://www.thaicert.or.th/downloads/files/A_Threat_Actor_Encyclopedia.pdf,na,na,Operation Flame,The malware Flame was discovered in 2012 and used for espionage operations against Middle Eastern countries. 
48,1,8,4,na,2007,na,na,2013,na,na,1.11,2,na,na,na,na,na,na,na,na,EUE,FRA,GRC,ITA, MEX,KOR,TUR,JPN,IND,na,1,2,na,1,NSA/Equation Group,na,USA,na,na,na,na,1,na,2013,na,0,3,5,5,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.theguardian.com/world/2013/jun/30/nsa-leaks-us-bugging-european-allies; https://www.theguardian.com/world/2013/jun/30/nsa-spying-europe-claims-us-eu-trade,na,na,Perdido,"According to the in 2013 by Snowden leaked NSA 2007 document, US intelligence services are spying on the European Union mission in New York and its embassy in Washington. One document lists 38 embassies and missions. Germany's justice minister, Sabine Leutheusser-Schnarrenberger, Robert Madelin, one of Britain's most senior officials in the European commission, a spokesman for the European commission, Guy Verhofstadt, the former Belgian primeminister and others have commented on the incident. "
49,1,na,0,na,2007,na,na,2007,na,na,0,na,na,na,na,na,na,na,na,na,COD,na,na,na,na,na,na,na,na,na,3,na,na,1,BND,na,DEU,na,na,na,na,1,na,2008,na,0,2,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.spiegel.de/spiegel/print/d-56756328.html,na,na,Support of Bundeswehr Presence in Congo,The German BND hacked computers in the Democratic Republic of Congo with the goal of gathering information to support the Bundeswehr presence there
50,2,10,2,na,2007,na,na,2014,na,na,1.1,1.5,3.9,4.7,7,na,na,na,na,na,USA,FRA,RUS,PAK,VAT,AUT,HUN,POL,na,na,1,na,na,0,0,na,0,na,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,0,na,JPN,na,na,1,7,na,na,1,1,7,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://www.trendmicro.de/cloud-content/us/pdfs/security-intelligence/white-papers/wp-operation-pawn-storm.pdf,na,na,Operation Pawn Storm 2007,"Fancy Bear attacked the military and defense contractors of the US and some of their allies in a longterm espionage campaign, with the usage of some Zerodays"
51,2,4,3,na,2007,na,na,2007,na,na,1.8,1.9,na,na,na,na,na,na,na,na,RUS,na,na,na,na,na,na,na,na,na,3,na,na,3.3,0,na,RUS,na,na,na,na,3,na,2017,na,0,3,na,na,na,na,na,na,na,na,na,na,na,na,na,1,2,na,na,3,1,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.wired.com/story/russia-election-hacking-playbook/,na,na,Russian Anti-Kasparov Campaign,"Pro-Russian hackers bombarded the sites of opposition leaders like Garry Kasparov in the midst of his 2007 campaign for president, keeping Kasparov's site offline or sluggish at key moments during the campaign season"
52,1,4,3,na,2007,1,22,2007,1,22,1.9,7,na,na,na,na,na,na,na,na,AZE,na,na,na,na,na,na,na,na,na,3,na,na,1,Armenian State Service,na,ARM,na,na,na,na,2,na,2007,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,4,9,na,na,3,4,9,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://eurasianet.org/nagorno-karabakh-dispute-takes-to-cyber-space,na,na,Azerbaijani-Armenian Cybewar 2007 Armenian Attack,Hackers identifying themselves to be connected to the Armenian state service hacked and defaced the website of the Azerbaijani state television
53,10,na,3,na,2007,1,29,2007,1,29,4.6,9,na,na,na,na,na,na,na,na,ARM,na,na,na,na,na,na,na,na,na,2,na,na,4,Bacioglu,na,AZE,na,na,na,na,3,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,4,9,na,na,3,4,9,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://eurasianet.org/nagorno-karabakh-dispute-takes-to-cyber-space,na,na,Azerbaijani-Armenian Cybewar 2007 Azerbaijani Counterattack,Bacioglu counter attacked and defaced five Armenian websites
54,10,na,3,na,2007,2,5,2007,2,5,7,na,na,na,na,na,na,na,na,na,AZE,na,na,na,na,na,na,na,na,na,3,na,na,3.3,Axteam,na,ARM,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,4,9,na,na,3,4,9,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://eurasianet.org/nagorno-karabakh-dispute-takes-to-cyber-space,na,na,Azerbaijani-Armenian Cyberwar 2007 Axteam intevenes,"Axteam, an Armenian hackergroup retaliated for Bacioglus attack and took down Azerbaijani websites"
55,4,na,1,na,2007,3,na,2007,3,na,1.5,8,na,na,na,na,na,na,na,na,KOR,na,na,na,na,na,na,na,na,na,1,na,na,1,na,na,PRK,na,na,na,na,3,na,2014,na,1,5,5,5,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,2,1,7,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,http://www.keia.org/sites/default/files/publications/kei_aps_mansourov_final.pdf,https://www.hsdl.org/?view&did=790510,na,Chemical Hack,"By stealing the password the North Korean hacker unit could excess information including data on organizations that manufacture toxic chemical substances, and the information on types of toxic chemical substances. "
56,2.1,8,0,na,2007,4,27,2007,5,1,1.1,1.2,1.8,5,7,na,na,na,na,na,EST,na,na,na,na,na,na,na,na,na,1,na,na,2,0,na,RUS,na,na,na,na,3,na,2007,na,2,4,4,0,6,6,na,na,0,na,0,na,USA,na,1,1,3,na,na,3,3,na,na,na,1,2,na,na,0,2,0,0,0,2,1,2,0,https://www.theguardian.com/world/2007/may/17/topstories3.russia; http://news.bbc.co.uk/2/hi/europe/6665195.stm; http://foreignpolicy.com/2010/12/07/who-was-behind-the-estonia-cyber-attacks/;  ,http://www.spiegel.de/international/world/old-wars-and-new-estonians-accuse-kremlin-of-cyberwarfare-a-483394.html; https://www.theguardian.com/world/2007/may/17/topstories3.russia; https://searchsecurity.techtarget.com/news/1255548/Experts-doubt-Russian-government-launched-DDoS-attacks; http://www.internetnews.com/security/article.php/3678606,https://www.theguardian.com/world/2007/may/17/topstories3.russia,Estonia 2007,"Different targets in Estonia attacked on the background of tensions with Russia and Russian minority in Estonia over removal of Soviet war memorial. Estonia accused Russia, but involvement of Russian government is contested and doubted by experts from the IT sector."
57,1,3,1,na,2007,6,na,2007,6,na,1.1,1.5,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,CHN,na,na,na,na,3,na,2007,na,6,4,na,na,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://web.archive.org/web/20070625081555/http://www.theregister.co.uk/2007/06/22/department_of_defense_email_hacked/; http://news.bbc.co.uk/2/hi/americas/6977533.stm; https://www.ft.com/content/9dba9ba2-5a3b-11dc-9bcd-0000779fd2ac; https://www.telegraph.co.uk/news/worldnews/1562149/Chinese-military-hacked-into-Pentagon.html ,na,na,DoD Systems Outage,"China accused of attack on the Office of the Secretary of Defense, according to what US Secretary of Defense Robert Gatest old reporters it was unclassified OSD emailsystem."
58,1,4,0,na,2007,8,na,2007,8,na,1.1,na,na,na,na,na,na,na,na,na,DEU,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,CHN,na,na,na,na,3,na,2007,na,6,8,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,http://www.spiegel.de/netzwelt/tech/computerspionage-chinesische-trojaner-auf-pcs-im-kanzleramt-a-501954.html; http://www.spiegel.de/international/world/espionage-report-merkel-s-china-visit-marred-by-hacking-allegations-a-502169.html,https://nsarchive2.gwu.edu//NSAEBB/NSAEBB424/docs/Cyber-030.pdf,http://www.spiegel.de/politik/ausland/computer-spionage-fdp-will-chinesische-hacker-angriffe-in-den-bundestag-bringen-a-502253.html; https://www.heise.de/newsticker/meldung/Politiker-fordern-Aufklaerung-ueber-chinesische-Trojaner-Angriffe-Update-167417.html,Chinese Espionage in Germany,"Der Spiegel reports based on BfV-report attacks from China on Germany like Chinese espionage attacks on other countries , Merkel didn't comment it directly on the summit ,while ""German officials believe the hackers were being directed by the People's Liberation Army "". Later German politicians asked Government to make direct remonstrations with Chinese officials, inparticular SPD politician Rolf Muetzenich, FDP expert of internal affairs Max Stadler and others. "
59,2,10,3,na,2007,8,12,2007,8,12,2,5,8,na,na,na,na,na,na,na,UN,ECOSOC,UNEP,USA,ISR,GBR,na,na,na,na,1,na,na,3.3,0,na,TUR,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.dailytelegraph.com.au/news/world/united-nations-website-hacked/news-story/13e8a7ae2ea91870029e1ab1c594c57f?sv=98f5643b01e22cb449ca41be1a1ce43a; https://www.computerworld.com/article/2543082/security0/-hackers--deface-un-site.html;  http://news.bbc.co.uk/2/hi/technology/6943385.stm; https://www.iol.co.za/business-report/technology/un-hackers-used-sql-injection-901265,na,na,UN website Defacement,"The hackers, who named themselvesas ""kerem125"", ""Gsy"" and ""M0sted"", one of which claimed to be Turkish, defaced main UN website with logos against the US and Israel killing children, as well as claimed having hacked many other sites including the webpages for the Economic and Social Council and the Paris website of the UN Environment Program, Harvard, Norfolk and Norwich University Hospital in Britain and other US and Israeli universities, Toyota, Nestle, Yahoo Korea, MSN Italy, CocaCola, Sony, Renault."
60,3,na,1,na,2007,9,na,2007,9,na,1.1,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,0,0,na,0,na,na,na,na,0,na,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,http://edition.cnn.com/2007/US/09/24/homelandsecurity.computers/index.html?eref= ,na,na,DHS breach 2007,"Sensitive information from Department of Homeland Security was exfiltrated on Chinese-language websites, the contractor charged with network security was suspected. They""don't know what was taken"", but to the best of our knowledge there was no classified information [taken]."""
